ca-no  321.7    1.4689      SOURCE1_SOURCE5     454	 0.0049
ca-o   598.1    1.2358      SOURCE4_SOURCE5      17	 0.0088
ca-oh  384.0    1.3637      SOURCE1_SOURCE5    3637	 0.0062
ca-os  376.6    1.3696      SOURCE1_SOURCE5    6900	 0.0064
ca-p2  243.0    1.8400              SOUECE3       1	
ca-p3  251.7    1.8257      SOURCE1_SOURCE5     156	 0.0180
ca-p4  264.3    1.8060              SOUECE3       1	
ca-p5  271.5    1.7952      SOURCE1_SOURCE5     577	 0.0028
ca-pe  249.6    1.8290              SOURCE3      10	 0.0042
ca-pf  249.6    1.8290              SOURCE3      10	 0.0042
ca-px  252.1    1.8250              SOURCE3       5	 0.0168
ca-py  257.7    1.8162      SOURCE4_SOURCE5      34	 0.0098
ca-s   277.9    1.7390              SOURCE3       2	
ca-s4  245.2    1.7880              SOURCE1      51	 0.0048
ca-s6  258.7    1.7669      SOURCE1_SOURCE5     258	 0.0041
ca-sh  249.6    1.7809      SOURCE4_SOURCE5      40	 0.0053
ca-ss  249.8    1.7806      SOURCE1_SOURCE5    1016	 0.0068
ca-sx  223.6    1.8251      SOURCE4_SOURCE5      90	 0.0050
ca-sy  243.4    1.7909      SOURCE3_SOURCE5     703	 0.0076
c -c1  379.8    1.4600              SOUECE3       1	
c -c2  449.9    1.4060              SOURCE3       2	 0.0370
c -c   291.7    1.5482      SOURCE1_SOURCE5     254	 0.0090
c -c3  313.0    1.5241      SOURCE1_SOURCE5   12697	 0.0077
c -ca  345.9    1.4906      SOURCE1_SOURCE5    4357	 0.0085
c -cc  371.0    1.4676      SOURCE3_SOURCE5    1864	 0.0130
cc-cc  419.8    1.4278      SOURCE1_SOURCE5    4559	 0.0096
cc-cd  500.9    1.3729      SOURCE3_SOURCE5    8451	 0.0091
cc-ce  386.9    1.4540         CORR_SOURCE5     396	 0.0089
cc-cf  513.0    1.3656         CORR_SOURCE5     156	 0.0107
cc-cg  422.6    1.4257      SOURCE1_SOURCE5     109	 0.0049
cc-ch  420.9    1.4270              SOURCE1     560	
cc-cl  317.5    1.7354         CORR_SOURCE5     137	 0.0076
cc-cx  369.6    1.4690               5/2017      24	 0.0036
c -cd  371.0    1.4676      SOURCE3_SOURCE5    1864	 0.0130
c -ce  354.5    1.4825      SOURCE1_SOURCE5    3022	 0.0115
c -cf  354.5    1.4825      SOURCE1_SOURCE5    3022	 0.0115
cc-f   367.8    1.3407      SOURCE4_SOURCE5      70	 0.0039
c -cg  390.2    1.4512      SOURCE3_SOURCE5      11	 0.0089
c -ch  390.2    1.4512      SOURCE3_SOURCE5      11	 0.0089
cc-h4  352.0    1.0817      SOURCE3_SOURCE5    4457	 0.0016
cc-h5  351.7    1.0819      SOURCE3_SOURCE5     879	 0.0012
cc-ha  349.1    1.0837      SOURCE3_SOURCE5    4706	 0.0018
c -cl  267.4    1.8029      SOURCE3_SOURCE5      16	 0.0187
cc-n2  576.1    1.2905         CORR_SOURCE5     156	 0.0074
cc-n   425.1    1.3807      SOURCE3_SOURCE5    1142	 0.0085
cc-n4  299.0    1.4930              SOURCE4       7	 0.0148
cc-na  425.8    1.3802      SOURCE3_SOURCE5    6739	 0.0088
cc-nc  441.1    1.3694      SOURCE1_SOURCE5    2269	 0.0086
cc-nd  525.4    1.3172      SOURCE3_SOURCE5    4612	 0.0083
cc-ne  428.0    1.3786      SOURCE4_SOURCE5      82	 0.0119
cc-nf  560.3    1.2985         CORR_SOURCE5      41	 0.0113
cc-nh  435.2    1.3735      SOURCE3_SOURCE5     976	 0.0106
cc-no  364.2    1.4289      SOURCE4_SOURCE5     386	 0.0074
cc-oh  405.9    1.3470         CORR_SOURCE5     248	 0.0073
cc-os  386.1    1.3620      SOURCE3_SOURCE5    1859	 0.0083
cc-pd  318.2    1.7330              SOURCE3      84	 0.0161
cc-sh  257.1    1.7693      SOURCE4_SOURCE5      22	 0.0030
cc-ss  265.8    1.7562      SOURCE3_SOURCE5    2011	 0.0134
cc-sx  231.7    1.8107      SOURCE4_SOURCE5      44	 0.0033
cc-sy  247.7    1.7839         CORR_SOURCE5      73	 0.0082
c -cu  441.4    1.4120              SOURCE2       1	
c -cx  333.4    1.5030               5/2017     246	 0.0109
c -cy  288.6    1.5520               5/2017     374	 0.0059
cd-cd  419.8    1.4278      SOURCE1_SOURCE5    4559	 0.0096
cd-ce  513.0    1.3656         CORR_SOURCE5     156	 0.0107
cd-cf  386.9    1.4540         CORR_SOURCE5     396	 0.0089
cd-cg  420.9    1.4270              SOURCE1     560	
cd-ch  422.6    1.4257      SOURCE1_SOURCE5     109	 0.0049
cd-cl  317.5    1.7354         CORR_SOURCE5     137	 0.0076
cd-cx  357.4    1.4800               5/2017      13	 0.0034
cd-cy  331.4    1.5050               5/2017      11	 0.0006
cd-h4  352.0    1.0817      SOURCE3_SOURCE5    4457	 0.0016
cd-h5  351.8    1.0818      SOURCE3_SOURCE5     578	 0.0013
cd-ha  349.1    1.0837      SOURCE3_SOURCE5    4706	 0.0018
cd-n2  576.1    1.2905         CORR_SOURCE5     156	 0.0074
cd-n   425.1    1.3807      SOURCE3_SOURCE5    1142	 0.0085
cd-na  425.8    1.3802      SOURCE3_SOURCE5    6739	 0.0088
cd-nc  525.4    1.3172      SOURCE3_SOURCE5    4612	 0.0083
cd-nd  441.1    1.3694      SOURCE1_SOURCE5    2269	 0.0086
cd-ne  560.3    1.2985         CORR_SOURCE5      41	 0.0113
cd-nh  435.2    1.3735      SOURCE3_SOURCE5     976	 0.0106
cd-oh  405.9    1.3470         CORR_SOURCE5     248	 0.0073
cd-os  386.1    1.3620      SOURCE3_SOURCE5    1859	 0.0083
