c6-n3  253.33   1.4657                2021     3293   0.0040
c6-n4  207.21   1.5300                2021      196   0.0069
c6-n7  253.65   1.4653                2021      937   0.0031
c6-n8  251.96   1.4674                2021      165   0.0036
c6-na  251.64   1.4678                2021       83   0.0091
c6-nh  252.92   1.4662                2021      939   0.0051
c6-nj  258.98   1.4588                2021        1   0.0000
c6-nl  216.05   1.5164                2021        1   0.0000
c6-no  197.67   1.5455                2021       15   0.0105
c6-np  264.20   1.4526                2021        1   0.0000
c6-nq  261.32   1.4560                2021        5   0.0011
c6-ns  257.58   1.4605                2021      230   0.0040
c6-nu  257.49   1.4606                2021      202   0.0056
c6-nx  216.59   1.5156                2021       17   0.0072
c6-ny  205.01   1.5335                2021        2   0.0000
c6-nz  212.49   1.5218                2021        2   0.0007
c6-o   440.85   1.2976                2021        2   0.0236
c6-oh  285.25   1.4241                2021     2105   0.0061
c6-os  279.78   1.4300                2021     2715   0.0094
c6-p3  175.40   1.8948                2021        4   0.0106
c6-p5  197.67   1.8470                2021       26   0.0105
c6-py  195.04   1.8523                2021        6   0.0046
c6-s4  175.67   1.8606                2021       23   0.0178
c6-s6  192.98   1.8236                2021       22   0.0118
c6-sh  174.66   1.8629                2021        4   0.0114
c6-ss  184.31   1.8416                2021      307   0.0081
c6-sx  181.67   1.8473                2021        3   0.0010
c6-sy  194.23   1.8211                2021       14   0.0102
ca-ca  354.25   1.3986                2021   114978   0.0056
ca-cc  296.50   1.4528                2021     1453   0.0123
ca-cd  288.79   1.4610                2021      971   0.0119
ca-ce  271.85   1.4800                2021     1282   0.0101
ca-cf  285.30   1.4648                2021      397   0.0061
ca-cg  317.41   1.4318                2021      229   0.0024
ca-ch  327.13   1.4226                2021       18   0.0026
ca-cl  187.98   1.7572                2021     2215   0.0048
ca-cp  346.07   1.4056                2021     2009   0.0049
ca-cq  354.25   1.3986                2021       33   0.0078
ca-cs  261.44   1.4924                2021       15   0.0070
ca-cx  258.91   1.4955                2021       67   0.0051
ca-cy  243.00   1.5159                2021       27   0.0058
ca-f   335.44   1.3502                2021     1034   0.0051
ca-h4  356.82   1.0885                2021     2586   0.0010
ca-h5  357.59   1.0880                2021      284   0.0005
ca-ha  360.69   1.0860                2021    63960   0.0009
ca-i   107.06   2.1569                2021       61   0.0076
ca-n1  391.80   1.3353                2021        6   0.0078
ca-n2  374.30   1.3484                2021       10   0.0522
ca-n   291.11   1.4228                2021      526   0.0095
ca-n4  224.10   1.5046                2021       18   0.0067
ca-na  329.32   1.3858                2021     2601   0.0095
ca-nb  386.49   1.3392                2021     6702   0.0055
ca-nc  329.99   1.3852                2021      432   0.0060
ca-nd  328.65   1.3864                2021      414   0.0041
ca-ne  311.78   1.4021                2021      222   0.0100
ca-nf  303.79   1.4099                2021       54   0.0062
ca-nh  310.84   1.4030                2021      624   0.0168
ca-nj  307.96   1.4058                2021        2   0.0004
ca-nm  333.35   1.3822                2021       19   0.0036
ca-nn  341.71   1.3749                2021        7   0.0030
ca-no  250.20   1.4696                2021      454   0.0049
ca-ns  306.73   1.4070                2021      792   0.0070
ca-nu  319.92   1.3944                2021     1014   0.0125
ca-nv  342.30   1.3744                2021     1021   0.0102
ca-nx  235.08   1.4893                2021        2   0.0040
ca-ny  229.12   1.4975                2021        2   0.0000
ca-nz  240.55   1.4820                2021        2   0.0000
ca-o   549.99   1.2377                2021       12   0.0114
ca-oh  348.55   1.3644                2021     3637   0.0062
ca-os  343.34   1.3688                2021     5808   0.0063
ca-p2  176.9    1.8400             SOUECE3        1         
ca-p3  197.02   1.8483                2021       11   0.0081
ca-p4  194.7    1.8060             SOUECE3        1         
ca-p5  212.82   1.8181                2021        6   0.0011
ca-pe  199.89   1.8426                2021        1   0.0000
ca-pf  182.5    1.8290             SOURCE3       10   0.0042
ca-px  209.08   1.8250                2021        1   0.0000
ca-py  212.16   1.8193                2021       29   0.0102
ca-s2  241.81   1.7378                2021        2   0.0000
ca-s   234.96   1.7485                2021        2   0.0005
ca-s4  214.32   1.7832                2021        1   0.0000
ca-s6  190.14   1.8294                2021       29   0.0080
ca-sh  215.16   1.7817                2021       28   0.0058
ca-ss  213.48   1.7847                2021      719   0.0079
ca-sx  192.29   1.8250                2021       66   0.0057
ca-sy  209.82   1.7913                2021      690   0.0076
c -c1  250.88   1.5056                2021        1   0.0000
c -c   219.37   1.5494                2021      213   0.0088
c -c2  308.44   1.4406                2021        2   0.0066
c -c3  234.85   1.5270                2021     6625   0.0086
c -c5  229.45   1.5346                2021     1678   0.0074
c -c6  233.63   1.5287                2021     1545   0.0070
c -ca  262.84   1.4907                2021     3861   0.0089
c -cc  281.78   1.4687                2021     1692   0.0122
cc-cc  322.02   1.4274                2021     1438   0.0114
cc-cd  386.24   1.3730                2021     7928   0.0083
cc-ce  296.31   1.4530                2021      247   0.0094
cc-cf  404.10   1.3598                2021       75   0.0078
cc-cg  330.38   1.4196                2021       52   0.0053
cc-ch  341.2    1.4270             SOURCE1      560         
cc-cl  199.24   1.7355                2021       96   0.0079
cc-cs  318.24   1.4310                2021       36   0.0110
cc-cx  281.42   1.4691                2021       24   0.0036
cc-cy  259.80   1.4944                2021        1   0.0000
c -cd  278.12   1.4728                2021     1998   0.0216
c -ce  267.76   1.4848                2021     2064   0.0117
c -cf  270.22   1.4819                2021      343   0.0108
cc-f   346.59   1.3408                2021       46   0.0041
c -cg  298.61   1.4506                2021       11   0.0089
c -ch  298.90   1.4503                2021        4   0.0023
cc-h4  368.72   1.0809                2021     2038   0.0014
cc-h5  366.97   1.0820                2021      838   0.0010
cc-ha  364.12   1.0838                2021     1399   0.0013
cc-hx  365.86   1.0827                2021        3   0.0013
cc-i   115.94   2.1205                2021       11   0.0086
c -cl  156.81   1.8266                2021        8   0.0119
cc-n1  416.60   1.3179                2021        1   0.0000
